id,highway,cycleway,name,surface,geometry
way/517805554,service,no,N/A,paving_stones,"{""type"": ""Polygon"", ""coordinates"": [[[13.4636656, 52.4711145], [13.4634762, 52.4711564], [13.4634607, 52.4711331], [13.4634529, 52.4710968], [13.4634396, 52.471076], [13.4633937, 52.4710019], [13.4635236, 52.4710557], [13.4636656, 52.4711145]]]}"
way/1186003574,N/A,lane,N/A,N/A,"{""type"": ""Polygon"", ""coordinates"": [[[13.3461525, 52.5897798], [13.3461421, 52.5897772], [13.3461316, 52.5897747], [13.3461594, 52.5897341], [13.3461753, 52.5897234], [13.346193, 52.589716], [13.3462161, 52.5897091], [13.346243, 52.5897063], [13.3462672, 52.5897063], [13.3462864, 52.5897067], [13.3462822, 52.5897144], [13.3462781, 52.5897221], [13.3462643, 52.5897212], [13.3462432, 52.5897219], [13.3462101, 52.5897282], [13.3461907, 52.5897346], [13.3461813, 52.5897426], [13.3461713, 52.5897529], [13.3461525, 52.5897798]]]}"
way/1186011275,N/A,lane,N/A,N/A,"{""type"": ""Polygon"", ""coordinates"": [[[13.3456929, 52.5896183], [13.3456974, 52.5896113], [13.3457019, 52.5896044], [13.3457407, 52.5896144], [13.345755, 52.5896197], [13.3457747, 52.5896293], [13.3457875, 52.589639], [13.3457959, 52.5896463], [13.3458049, 52.5896593], [13.3458098, 52.5896756], [13.3458102, 52.5896908], [13.3458068, 52.5897024], [13.3457937, 52.5897003], [13.3457833, 52.5896992], [13.3457871, 52.5896863], [13.3457866, 52.5896802], [13.3457811, 52.5896679], [13.3457767, 52.5896593], [13.3457654, 52.5896475], [13.34575, 52.5896363], [13.3457352, 52.5896296], [13.3456929, 52.5896183]]]}"
way/1187324842,N/A,crossing,N/A,N/A,"{""type"": ""Polygon"", ""coordinates"": [[[13.4256463, 52.4877204], [13.4256337, 52.4877248], [13.4256211, 52.4877035], [13.4256332, 52.4876993], [13.4256437, 52.4876955], [13.4256574, 52.4877164], [13.4256463, 52.4877204]]]}"
way/4045656,secondary,track,Hauptstraße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3728224, 52.5933399], [13.3728054, 52.5933095], [13.3726967, 52.5931247], [13.3726053, 52.5929586], [13.3722444, 52.592326], [13.3719305, 52.5919073], [13.3713463, 52.5911749], [13.3711783, 52.5909683], [13.3711198, 52.5908967], [13.3710088, 52.5907611]]}"
way/4316773,residential,track,Am Schlachtensee,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.1978137, 52.4350336], [13.1978475, 52.4350812], [13.197872, 52.4351159], [13.1978754, 52.4351207], [13.1980919, 52.4352583], [13.1984389, 52.4353967], [13.198881, 52.4355461], [13.1989818, 52.4355766], [13.1990741, 52.4355968], [13.1992444, 52.435598], [13.1999288, 52.4355318], [13.2000451, 52.4355412], [13.2001564, 52.4355735], [13.2014134, 52.4360457]]}"
way/4323788,secondary,track,Kronprinzessinnenweg,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.1891618, 52.4336925], [13.1891087, 52.4336658], [13.1890095, 52.4336162], [13.1889214, 52.4335709], [13.1885243, 52.4333675], [13.188104, 52.4331306], [13.1873882, 52.4326651], [13.1869766, 52.4323956], [13.1866759, 52.4322006]]}"
way/4357821,residential,track,Torgauer Straße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3633616, 52.4785917], [13.3633063, 52.4786137], [13.3623879, 52.478999], [13.3621898, 52.4790764], [13.3619896, 52.4791492], [13.3615161, 52.4793044], [13.3613112, 52.4793772]]}"
way/4359599,residential,no,Breisgauer Straße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.2144526, 52.4401085], [13.2145142, 52.4400005]]}"
way/4368305,residential,track,Forckenbeckstraße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.2901075, 52.4821799], [13.2902626, 52.4821164], [13.2903309, 52.4820904], [13.2906212, 52.481978], [13.2908012, 52.4819137], [13.2924208, 52.4816611], [13.2924974, 52.4816491], [13.2925756, 52.4816375], [13.2941072, 52.4814097], [13.2941783, 52.4813991], [13.2942453, 52.4813888], [13.2948638, 52.4812937]]}"
